team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Florida,2014,15,0,26,2,17,1,3,1,0.3747276688453159,0.7086864406779662,113.3943903835146,93.44729344729345,19.94709693622116,102.22154018607232,106.96409504888162,4.74255486280929,0.18030910131654265,0.21823361823361823,0.10646823125357756,0.08774928774928775,62.11555555555556,0.3054619015509103,0.21730103806228376,SEC,6.39513761825657,0.964,0.036,0.57,0.57,1,In,0.542,0.156,0.106,0.056,0.04,0.016,0.022,0.012,0.01,0.002,0.01,0.022,0.002,0.004,0,0,1,1
Wichita State,2014,17,0,29,0,3,0,19,0,0.3555776892430279,0.7421150278293135,117.3913043478261,93.4020618556701,23.989242492155995,105.09216255038976,104.60086614412974,-0.49129640626007454,0.16350446428571427,0.1936736958934517,0.11049107142857142,0.07158712541620421,63.715555555555554,0.3576158940397351,0.23014804845222073,MVC,2.594903515355972,0.746,0.254,0.87,0.87,1,In,0.478,0.08,0.014,0.068,0.022,0.05,0.054,0.026,0.006,0.038,0.036,0.086,0.01,0.024,0.004,0.004,1,2
Arizona,2014,13,2,26,2,16,2,3,0,0.3851851851851852,0.7393939393939394,114.75318912922909,89.01702361339923,25.73616551582984,102.08112579824213,107.96420399200258,5.883078193760462,0.16080729166666666,0.20090148100450744,0.09505208333333331,0.07147456535737283,63.01538461538462,0.2677916360968452,0.2405362776025237,Pac-12,7.930507223389459,0.964,0.036,0.63,0.63,1,In,0.448,0.136,0.118,0.072,0.068,0.034,0.038,0.022,0.014,0.008,0.02,0.018,0,0.004,0,0,1,3
Syracuse,2014,13,2,26,2,19,2,2,0,0.38469601677148846,0.6795580110497238,114.3026706231454,97.0954356846473,17.207234938498104,101.99482482667278,107.84281514748018,5.847990320807393,0.15444015444015444,0.23027581783194356,0.1377091377091377,0.07248236048749199,59.2,0.28085106382978725,0.23659305993690852,ACC,6.9157453784621,0.978,0.022,0.15,0.36,0,In,0.444,0.178,0.248,0.046,0.018,0.006,0.008,0.014,0.016,0.002,0.01,0.008,0.002,0,0,0,1,4
Virginia,2014,15,1,24,5,15,3,3,1,0.3468715697036224,0.744114636642784,109.5756880733945,90.17045454545456,19.405233527939956,100.94532287120532,105.9848391657117,5.039516294506409,0.1724343675417661,0.19432959243945655,0.09427207637231504,0.08328411104548139,59.85714285714286,0.27851644506648005,0.21306818181818185,ACC,6.9157453784621,0.972,0.028,0.36,0.36,1,In,0.244,0.11,0.082,0.142,0.112,0.116,0.046,0.018,0.024,0.018,0.012,0.058,0.01,0.006,0.002,0,1,5
Villanova,2014,13,2,25,3,16,3,3,0,0.33997901364113325,0.7019417475728156,116.81555438780872,97.96980739198334,18.84574699582539,103.6609686778748,108.51078677633944,4.849818098464679,0.17037037037037037,0.20294784580498867,0.098005698005698,0.08049886621315193,66.22641509433963,0.32060027285129605,0.27624309392265195,Big East,7.312576522005973,0.962,0.038,0.45,0.45,1,In,0.174,0.278,0.15,0.128,0.032,0.038,0.038,0.034,0.05,0.006,0.028,0.03,0.012,0.002,0,0,2,6
Wisconsin,2014,10,5,23,5,15,5,2,0,0.2826086956521739,0.7216931216931217,117.77522935779815,99.7195737521032,18.05565560569497,100.08376993944884,109.79813683003512,9.714366890586302,0.13056379821958458,0.1609529343404997,0.08189910979228486,0.06682161533991865,62.407407407407405,0.3277310924369748,0.17922077922077922,Big Ten,8.972992839059481,0.942,0.058,0.35,0.35,1,In,0.104,0.19,0.082,0.17,0.122,0.064,0.122,0.046,0.044,0.008,0.018,0.024,0.004,0,0,0.002,2,7
Kansas,2014,13,2,22,6,16,5,2,1,0.3751425313568985,0.7023696682464455,117.14735186156268,102.15903106898368,14.988320792578987,101.00813139465122,111.53021806255104,10.522086667899838,0.1858622790981109,0.1624923640806353,0.08348567946374162,0.08735491753207086,68.02072538860104,0.34655688622754494,0.30610743193524653,Big 12,7.938280377774082,0.962,0.038,0.36,0.36,1,In,0.102,0.232,0.21,0.102,0.096,0.06,0.064,0.046,0.02,0.02,0.024,0.01,0.01,0.002,0,0.002,2,8
Michigan State,2014,11,4,22,6,15,6,1,0,0.32452431289640593,0.7253384912959381,114.43680592279216,98.08306709265176,16.353738830140415,102.3767522273846,107.79773398187297,5.420981754488371,0.1649200220628792,0.18767351471404775,0.10865968008825153,0.07995558023320377,66.22831050228311,0.22896900695762176,0.2807017543859649,Big Ten,8.972992839059481,0.952,0.048,0.09,0.35,0,In,0.086,0.07,0.194,0.184,0.114,0.07,0.116,0.048,0.04,0.018,0.036,0.012,0.008,0.004,0,0,3,9
Iowa State,2014,10,5,21,5,13,5,6,0,0.2703252032520325,0.7122171945701358,114.51040081177068,100.20335536349772,14.30704544827296,102.36993699584347,108.17608050442853,5.806143508585028,0.1405283867341203,0.163184641445511,0.08431703204047218,0.07114624505928854,72.61224489795919,0.2614162806088683,0.226159793814433,Big 12,7.938280377774082,0.946,0.054,0.2,0.36,0,In,0.086,0.05,0.132,0.13,0.072,0.1,0.108,0.08,0.062,0.05,0.074,0.018,0.022,0.008,0.008,0,3,10
