team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
Mississippi State,2018,16,0,30,0,21,0,1,0,0.39650413983440663,0.7000964320154291,119.57040572792364,80,39.57040572792363,93.06602054472702,96.83955807784304,3.773537533116009,0.1515601783060921,0.20029895366218237,0.08023774145616643,0.06726457399103139,66.46913580246914,0.22075782537067545,0.18980667838312829,SEC,8.735152686517026,0.956,0.044,0.95,0.95,1,In,0.678,0.266,0.014,0.002,0.006,0.002,0,0.006,0,0.002,0,0.006,0.012,0.002,0.002,0.002,1,1
Notre Dame,2018,15,1,27,2,22,1,1,1,0.3974609375,0.6843881856540084,113.95563770794826,89.28238583410997,24.67325187383828,90.6006211415384,100.09845262660728,9.49783148506887,0.1729957805907173,0.16549789621318373,0.09282700421940927,0.08695652173913043,70.22222222222223,0.2172573189522342,0.13282442748091602,ACC,8.688518348262075,0.988,0.012,0.43,0.43,1,In,0.642,0.248,0.062,0.008,0.012,0.004,0.002,0.008,0,0,0.002,0.002,0.008,0,0.002,0,1,2
UConn,2018,16,0,29,0,11,0,18,0,0.3676148796498906,0.7181818181818181,122.71234162365089,72.37464522232735,50.33769640132353,92.79034647767342,97.84735361003844,5.0570071323649834,0.15605095541401273,0.20222929936305736,0.11464968152866242,0.08439490445859872,68.82191780821918,0.14285714285714285,0.1223021582733813,American,3.179117845947031,0.814,0.186,1,1,1,In,0.628,0.168,0.036,0.006,0.022,0.028,0.036,0.016,0,0.008,0.014,0.016,0.014,0.004,0.004,0,1,3
Louisville,2018,15,1,29,2,21,1,2,1,0.373904576436222,0.726555652936021,110.42916474388556,80.32407407407408,30.10509066981147,91.11213682620848,95.77058386060492,4.658447034396461,0.15522875816993464,0.2145214521452145,0.10130718954248366,0.07260726072607261,67.06849315068493,0.1443661971830986,0.18415841584158416,ACC,8.688518348262075,0.986,0.014,0.4,0.43,0,In,0.58,0.35,0.028,0.002,0.006,0.004,0.01,0.004,0,0.002,0.002,0.002,0.008,0.002,0,0,1,4
Baylor,2018,17,0,27,1,20,1,1,0,0.41382868937048506,0.7665056360708534,118.25665859564164,76.82508574228319,41.43157285335846,96.77628095244192,96.59149583236562,-0.18478512007630243,0.1704312114989733,0.21020408163265303,0.10472279260780289,0.07551020408163266,69.57142857142857,0.2374727668845316,0.14726840855106887,Big 12,8.953940470081296,0.978,0.022,0.9,0.9,1,In,0.508,0.414,0.022,0.01,0.006,0.004,0.008,0.01,0,0.002,0,0.006,0.006,0.002,0,0.002,1,5
Oregon,2018,16,2,27,4,20,4,1,0,0.3696969696969697,0.6957250628667225,117.86372007366484,91.16022099447514,26.703499079189697,95.07950370267136,98.9304424025587,3.8509386998873714,0.15458015267175573,0.15939278937381404,0.10114503816793892,0.08349146110056926,65.5,0.15778688524590165,0.1111111111111111,Pac-12,7.41140783712781,0.974,0.026,0.45,0.45,1,In,0.182,0.658,0.082,0.016,0.042,0.01,0.002,0.002,0,0,0.002,0.002,0,0.002,0,0,2,6
Texas,2018,14,3,23,5,18,4,0,1,0.40505144995322734,0.7393410852713178,107.81990521327016,85.87786259541986,21.94204261785029,92.02871377435346,98.1520420976242,6.123328323270715,0.21669980119284293,0.16135458167330677,0.08151093439363817,0.10358565737051792,71.85714285714286,0.1399548532731377,0.21311475409836064,Big 12,8.953940470081296,0.996,0.004,0.06,0.9,0,In,0.182,0.434,0.162,0.042,0.062,0.024,0.034,0.024,0.01,0.012,0.004,0.002,0.004,0,0.004,0,2,7
South Carolina,2018,12,4,23,6,17,5,1,1,0.3838383838383838,0.6816220880069025,109.80295566502464,87.6604146100691,22.14254105495553,93.42608438787671,96.48630068361064,3.0602162957339356,0.26750448833034113,0.15217391304347827,0.07360861759425494,0.1286231884057971,69.625,0.27078384798099764,0.1453154875717017,SEC,8.735152686517026,0.998,0.002,0.02,0.95,0,In,0.04,0.298,0.22,0.182,0.136,0.046,0.014,0.02,0.004,0.04,0,0,0,0,0,0,2,8
Florida State,2018,12,4,23,5,16,5,0,0,0.4026465028355388,0.7274401473296501,111.95061728395062,87.38916256157636,24.561454722374265,92.17789896582106,95.34097926868628,3.1630803028652243,0.19767441860465115,0.18862275449101795,0.07848837209302326,0.10179640718562874,68.8,0.2508038585209003,0.29692832764505117,ACC,8.688518348262075,0.996,0.004,0.05,0.43,0,In,0.06,0.124,0.456,0.108,0.15,0.042,0.016,0.004,0.004,0.026,0.004,0.006,0,0,0,0,3,9
Missouri,2018,11,5,22,6,15,5,2,0,0.33133971291866027,0.7361740707162284,108.10222947253942,92.12218649517683,15.980042977362572,93.64444728405132,97.63702115741566,3.9925738733643046,0.2593984962406015,0.1482889733840304,0.06390977443609022,0.09505703422053231,66.5,0.2815533980582524,0.28054298642533937,SEC,8.735152686517026,0.978,0.022,0,0.95,0,In,0.03,0.07,0.212,0.188,0.208,0.13,0.034,0.022,0.028,0.056,0.012,0.008,0.002,0,0,0,3,10
