team,logo
Abilene Christian,https://a.espncdn.com/i/teamlogos/ncaa/500/2000.png
Adelphi,
Air Force,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Alabama A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png
Alabama State,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png
Alaska,https://a.espncdn.com/i/teamlogos/ncaa/500/298.png
Alaska Anchorage,https://a.espncdn.com/i/teamlogos/ncaa/500/1.png
Albany,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png
Alcorn State,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png
American University,https://a.espncdn.com/i/teamlogos/ncaa/500/44.png
Angelo State,
Appalachian State,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona State,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Arkansas-Pine Bluff,https://a.espncdn.com/i/teamlogos/ncaa/500/2029.png
Army,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Auburn,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Augusta,
Austin Peay,https://a.espncdn.com/i/teamlogos/ncaa/500/2046.png
Ball State,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Baylor,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Bellarmine,https://a.espncdn.com/i/teamlogos/ncaa/500/91.png
Belmont,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png
Bethune-Cookman,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png
Binghamton,https://a.espncdn.com/i/teamlogos/ncaa/500/2066.png
Boise State,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Boston University,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png
Bowling Green,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Bradley,https://a.espncdn.com/i/teamlogos/ncaa/500/71.png
