id,tournamentId
310720194,9
310720153,3
310720057,27
310720257,2
310710328,34
310710155,14
310710097,6
310712011,30
310710299,10
310710252,20
310712305,5
310710012,25
310712309,17
310710213,9
310712377,29
310710163,NA
310710218,2
310710150,3
310710057,27
310712261,18
310710194,9
310710153,3
310710333,27
310712168,2
310710104,1
310712638,13
310712428,NA
310700068,34
310700021,20
310700264,25
310700344,27
310702608,NA
310700087,6
310700052,3
310700251,5
310703084,14
310702309,17
310700299,10
310700252,20
310700012,25
310700328,34
310702640,30
310700257,2
310700275,9
310702261,18
310700057,27
310702305,5
310700150,3
310700183,6
310702711,17
310700155,14
310702509,9
310700218,2
310700235,13
310702065,18
310702083,26
310700202,13
310700096,27
310702296,30
310700130,9
310700228,3
310702184,2
310700333,27
310700194,9
310700153,3
310702752,2
310702463,10
310692463,10
310692439,20
310690264,25
310692547,NA
310690238,27
310690202,13
310692377,29
310690245,5
310692050,17
310690259,3
310690233,14
310690097,6
310690021,20
310692011,30
310690026,25
310690013,10
310692415,18
310692638,13
310690213,9
310690008,27
310690087,6
310690251,5
310692534,29
310692309,17
310690155,14
310690120,3
310692154,18
310690012,25
310690279,10
310690166,34
310690036,20
310690127,9
310692885,14
310690235,13
310690145,27
310690252,20
310692306,5
310690299,10
310690103,3
310690070,34
310690030,25
310690183,6
310690193,17
310690077,9
310692400,30
310690061,27
310690005,13
310692305,5
310690221,6
310692711,17
310690258,3
310682483,25
310682567,13
310680142,5
310682261,18
310680326,29
310680277,6
310682640,30
310682458,7
310680024,25
310680276,13
310682132,6
310682377,29
310682341,23
310682065,18
310680239,5
310682440,34
310682751,20
310682572,13
310682534,29
310680038,5
310682450,18
310680062,34
310682599,6
310682296,30
310682466,29
310680151,13
310680158,5
310680046,6
310672458,7
310670269,6
310672473,31
310672169,18
310670270,15
310670113,2
310670149,7
310672084,17
310672006,17
310670249,32
310670227,2
310670222,6
310670219,NA
310670195,17
310670189,17
310670045,2
310670050,18
310670179,2
310672550,6
310670041,6
310662393,32
310660198,31
310662608,33
310660232,28
310662473,31
310660314,16
310660295,12
310660098,32
310652250,33
310652393,32
310652032,32
310650085,31
310650232,28
310652608,33
310652226,32
310650104,1
310652083,26
310650309,32
310652870,31
310650152,NA
310652717,28
310650261,1
310650044,26
310650194,NA
310650314,16
310650295,12
310650059,NA
310652623,19
310652514,23
310652217,16
310650135,NA
310652633,NA
310652341,23
310652244,12
310650103,NA
310642539,33
310640278,NA
310640264,NA
310642540,NA
310640021,NA
310642520,16
310640302,NA
310640279,NA
310640070,NA
310640027,NA
310640006,32
310642172,32
310642692,7
310640232,28
310640198,31
310640239,NA
310642541,33
310642504,NA
310640292,NA
310640166,NA
310640068,NA
310640038,NA
310642277,NA
310642464,7
310642275,12
310640270,15
310640311,1
310640153,NA
310642599,NA
310642534,NA
310642413,24
310640250,NA
310640202,NA
310640005,NA
310640098,32
310642755,NA
310640314,16
310640249,32
310642348,NA
310642507,NA
310642473,31
310640276,NA
310640236,28
310640172,NA
310640171,NA
310640159,NA
310640108,NA
310640099,NA
310640025,NA
310642296,NA
310640104,1
310640238,NA
310642550,NA
310642086,15
310642057,4
310640295,12
310640248,NA
310640167,NA
310642640,NA
310640265,NA
310642724,19
310642110,NA
310642747,28
310642377,NA
310642217,16
310640221,NA
310642294,NA
310640183,NA
310642885,NA
310640324,8
310640254,NA
310640235,NA
310640201,NA
310640145,NA
310640009,NA
310640252,NA
310642567,NA
310642466,NA
310640218,NA
310642623,19
310642670,12
310642612,16
310640261,1
310640041,NA
310642132,NA
310640012,NA
310640139,NA
310642717,28
310642429,NA
310642199,NA
310642117,NA
310642050,NA
310640344,NA
310640179,NA
310640130,NA
310640120,NA
310640045,NA
310640245,NA
310642306,NA
310640333,NA
310642545,NA
310642230,NA
310640189,NA
310640399,1
310640142,NA
310640277,NA
310642244,12
310640356,NA
310640257,NA
310640228,NA
310632492,33
310630282,19
310632561,16
310632210,28
310632501,33
310632193,4
310632674,15
310630256,12
310630093,24
310630315,16
310632724,19
310632309,NA
310630231,28
310630193,NA
310630172,NA
310630171,NA
310630159,NA
310630108,NA
310632057,4
310630325,15
310630048,12
310632026,28
310632460,19
310632182,12
310632166,28
310632623,19
310630350,12
310620023,NA
310620302,NA
310620279,NA
310620265,NA
310620070,NA
310622181,19
310610084,NA
310620012,NA
310622640,NA
310622382,4
310622348,NA
310622046,24
310620264,NA
310622277,NA
310622755,NA
310622504,NA
310622400,NA
310622296,NA
310620292,NA
310620009,NA
310622378,1
310630047,NA
310622450,NA
310620324,8
310620154,NA
310622885,NA
310622428,NA
310622379,NA
310622154,NA
310622065,NA
310620079,19
310622550,NA
310622635,24
310622579,NA
310622523,23
310622514,23
310622341,23
310622115,23
310622427,8
310620294,4
310610166,NA
310610027,NA
310612692,NA
310610252,NA
310612638,NA
310612458,NA
310610147,NA
310612305,NA
310610150,NA
310610058,NA
310612198,24
310612193,4
310610068,NA
310610036,NA
310610008,NA
310612464,NA
310610305,NA
310610077,NA
310612320,NA
310612655,NA
310612636,NA
310612617,NA
310612459,NA
310612377,NA
310612005,NA
310610357,NA
310610269,NA
310610242,NA
310610061,NA
310610002,NA
310612641,NA
310612447,NA
310612084,NA
310610066,NA
310610097,NA
310610052,NA
310610277,NA
310612752,NA
310612711,NA
310612634,24
310612603,NA
310612572,NA
310612390,NA
310612329,26
310612325,NA
310612184,NA
310612168,NA
310612116,NA
310612083,26
310610227,NA
310610151,NA
310610113,NA
310610107,26
310610044,26
310610127,NA
310612057,4
310602751,NA
310600024,NA
310600213,NA
310600096,NA
310600259,NA
310603173,NA
310602031,NA
310600158,NA
310602710,NA
310602674,15
310600189,NA
310602509,NA
310600057,NA
310602750,15
310602678,8
310602649,NA
310602427,8
310602335,8
310602174,15
310600325,15
310600324,8
310600258,NA
310600197,NA
310600195,NA
310590155,NA
310590304,NA
310590251,NA
310592400,NA
310592250,NA
310592029,NA
310592011,NA
310592010,NA
310592450,NA
310592065,NA
310590050,NA
310592908,NA
310590087,NA
310592448,NA
310580264,NA
310580153,NA
310582561,NA
310580275,NA
310580006,NA
310580194,NA
310580269,NA
310580314,NA
310580042,NA
310580097,NA
310582619,NA
310582520,NA
310582325,NA
310582199,NA
310582099,NA
310580357,NA
310580315,NA
310580311,NA
310580127,NA
310582168,NA
310580261,NA
310582132,NA
310580164,NA
310570062,NA
310572239,NA
310572608,NA
310572440,NA
310572502,NA
310570016,NA
310572934,NA
310572541,NA
310572539,NA
310572439,NA
310570253,NA
310570233,NA
310572458,NA
310570259,NA
310570239,NA
310573084,NA
310572635,NA
310572634,NA
310572582,NA
310572029,NA
310570328,NA
310570301,NA
310570023,NA
310572046,NA
310570093,NA
310570300,NA
310570292,NA
310570249,NA
310572674,NA
310572320,NA
310570331,NA
310570299,NA
310570198,NA
310570140,NA
310570071,NA
310572628,NA
310572393,NA
310570242,NA
310570202,NA
310570139,NA
310570027,NA
310570526,NA
310572630,NA
310572506,NA
310572433,NA
310572169,NA
310572010,NA
310570338,NA
310570290,NA
310570030,NA
310570087,NA
310572737,NA
310572649,NA
310572598,NA
310572523,NA
310572429,NA
310572309,NA
310572241,NA
310572229,NA
310572116,NA
310572006,NA
310570356,NA
310570276,NA
310570219,NA
310570061,NA
310570056,NA
310572450,NA
310572117,NA
310572005,NA
310570050,NA
310572633,NA
310572483,NA
310572247,NA
310570248,NA
310570225,NA
310570204,NA
310570163,NA
310570043,NA
310572400,NA
310572113,NA
310572011,NA
310572535,NA
310572717,NA
310572597,NA
310572448,NA
310572382,NA
310572379,NA
310572377,NA
310572127,NA
310572065,NA
310570135,NA
310572032,NA
310570201,NA
310570038,NA
310570026,NA
310570096,NA
310572603,NA
310572545,NA
310572514,NA
310572426,NA
310572083,NA
310570322,NA
310570295,NA
310570228,NA
310570145,NA
310570119,NA
310570107,NA
310572529,NA
310572097,NA
310570339,NA
310573129,NA
310572638,NA
310572466,NA
310570326,NA
310570155,NA
310570156,NA
310570021,NA
310570222,NA
310570045,NA
310572427,NA
310572341,NA
310572275,NA
310572230,NA
310572166,NA
310572086,NA
310572026,NA
310570325,NA
310570305,NA
310570231,NA
310570152,NA
310570052,NA
310570099,NA
310570066,NA
310570197,NA
310570002,NA
310572754,NA
310570282,NA
310572623,NA
310570111,NA
310570046,NA
310572306,NA
310572670,NA
310570258,NA
310570193,NA
310562612,NA
310562449,NA
310562368,NA
310562750,NA
310562217,NA
310562099,NA
310560315,NA
310560225,NA
310560219,NA
310560163,NA
310560043,NA
310550062,NA
310552541,NA
310552608,NA
310550301,NA
310550278,NA
310550026,NA
310550030,NA
310552440,NA
310552502,NA
310552463,NA
310550331,NA
310550300,NA
310550299,NA
310550016,NA
310552539,NA
310550027,NA
310550221,NA
310552483,NA
310550253,NA
310550233,NA
310550204,NA
310550093,NA
310550077,NA
310552634,NA
310552046,NA
310550309,NA
310552674,NA
310552032,NA
310550198,NA
310550140,NA
310550006,NA
310552565,NA
310552443,NA
310552113,NA
310550098,NA
310552382,NA
310552097,NA
310550526,NA
310550338,NA
310550056,NA
310552754,NA
310550057,NA
310550041,NA
310552737,NA
310552717,NA
310552598,NA
310552597,NA
310552542,NA
310552529,NA
310552523,NA
310552514,NA
310552506,NA
310552427,NA
310552344,NA
310552341,NA
310552309,NA
310552244,NA
310552241,NA
310552226,NA
310552166,NA
310552066,NA
310552026,NA
310550325,NA
310550290,NA
310550256,NA
310552630,NA
310540023,NA
310542751,NA
310540046,NA
310540152,NA
310540142,NA
310540344,NA
310540167,NA
310540158,NA
310540120,NA
310540084,NA
310542724,NA
310542181,NA
310540079,NA
310540252,NA
310540008,NA
310542636,NA
310542617,NA
310542567,NA
310542534,NA
310542459,NA
310542110,NA
310540333,NA
310540326,NA
310540250,NA
310540245,NA
310542641,NA
310540195,NA
310540044,NA
310540150,NA
310542507,NA
310542599,NA
310542729,NA
310542711,NA
310542415,NA
310542184,NA
310542182,NA
310542142,NA
310542083,NA
310542050,NA
310542006,NA
310540399,NA
310540350,NA
310540322,NA
310540276,NA
310540236,NA
310540179,NA
310540151,NA
310540113,NA
