team,conference,game_id
UConn,Big East,310940041
UConn,Big East,310920041
Butler,Horizon,310922086
Oregon,Pac-12,310912483
Alabama,SEC,310900333
Oregon,Pac-12,310892483
Iona,MAAC,310890314
Colorado,Big 12,310880038
Washington State,Pac-12,310880265
Creighton,MVC,310870156
North Carolina,ACC,310860153
Kansas,Big 12,310862305
UConn,Big East,310850041
Florida,SEC,310850057
East Tennessee State,ASUN,310852193
Florida State,ACC,310840052
Ohio State,Big Ten,310840194
SMU,C-USA,310842567
Kansas,Big 12,310842305
North Carolina,ACC,310840153
Wisconsin,Big Ten,310830275
Duke,ACC,310830150
Florida,SEC,310830057
San Diego State,Mountain West,310830021
Washington State,Pac-12,310820265
Oregon,Pac-12,310822483
Alabama,SEC,310820333
Creighton,MVC,310820156
Wichita State,MVC,310822724
San Francisco,WCC,310812539
Colorado,Big 12,310810038
Iona,MAAC,310810314
East Tennessee State,ASUN,310812193
Washington State,Pac-12,310800265
Oregon,Pac-12,310802483
Alabama,SEC,310800333
Boise State,WAC,310800068
Creighton,MVC,310800156
Northern Iowa,MVC,310802460
Miami,ACC,310802390
UCF,C-USA,310802116
Notre Dame,Big East,310790087
Kansas,Big 12,310792305
Syracuse,Big East,310790183
Purdue,Big Ten,310792509
Texas,Big 12,310790251
Ohio State,Big Ten,310790194
Duke,ACC,310790150
Fairfield,MAAC,310792217
North Carolina,ACC,310790153
Virginia Tech,ACC,310790259
Hawai'i,WAC,310780062
UConn,Big East,310780041
Wisconsin,Big Ten,310780275
BYU,Mountain West,310780252
Pittsburgh,Big East,310780221
San Diego State,Mountain West,310780021
Richmond,A 10,310780257
Florida,SEC,310780057
SMU,C-USA,310782567
Cleveland State,Horizon,310780325
Western Michigan,MAC,310782711
Kentucky,SEC,310780096
Boston College,ACC,310780103
Syracuse,Big East,310770183
Washington,Pac-12,310770264
Santa Clara,WCC,310772541
Georgetown,Big East,310770046
Colorado,Big 12,310770038
UNLV,Mountain West,310772439
Xavier,A 10,310772752
Purdue,Big Ten,310772509
North Carolina,ACC,310770153
Kansas,Big 12,310772305
Ohio State,Big Ten,310770194
Texas A&M,Big 12,310770245
Duke,ACC,310770150
Arizona,Pac-12,310770012
George Mason,CAA,310772244
Notre Dame,Big East,310770087
Michigan,Big Ten,310770130
Texas,Big 12,310770251
Kansas State,Big 12,310762306
St. John's,Big East,310762599
Cincinnati,Big East,310762132
UCLA,Pac-12,310760026
Wisconsin,Big Ten,310760275
UConn,Big East,310760041
BYU,Mountain West,310760252
Florida,SEC,310760057
San Diego State,Mountain West,310760021
Vanderbilt,SEC,310760238
Pittsburgh,Big East,310760221
Kentucky,SEC,310760096
Temple,A 10,310760218
Louisville,Big East,310760097
Butler,Horizon,310762086
West Virginia,Big East,310760277
Washington State,Pac-12,310750265
Oregon,Pac-12,310752483
San Francisco,WCC,310752539
USC,Pac-12,310750030
Colorado,Big 12,310750038
California,Pac-12,310750025
Montana,Big Sky,310750149
Virginia Tech,ACC,310750259
Northwestern,Big Ten,310750077
UCF,C-USA,310752116
Valparaiso,Horizon,310752674
SMU,C-USA,310752567
Miami,ACC,310752390
Wichita State,MVC,310752724
Rhode Island,A 10,310750227
Western Michigan,MAC,310752711
Alabama State,SWAC,310752011
Hawai'i,WAC,310740062
Saint Mary's,WCC,310742608
Santa Clara,WCC,310742541
UAB,C-USA,310740005
New Mexico,Mountain West,310740167
Boston College,ACC,310740103
Colorado State,Mountain West,310740036
Boise State,WAC,310740068
Air Force,Mountain West,310742005
Evansville,MVC,310740339
Creighton,MVC,310740156
Missouri State,MVC,310742623
Northern Iowa,MVC,310742460
East Carolina,C-USA,310740151
Oklahoma State,Big 12,310740197
Alabama,SEC,310740333
Cleveland State,Horizon,310740325
Charleston,Southern,310740232
Davidson,Southern,310742166
East Tennessee State,ASUN,310742193
Marshall,C-USA,310740276
Little Rock,Sun Belt,310742031
Quinnipiac,NEC,310732514
Ohio State,Big Ten,310720194
North Carolina,ACC,310720153
Florida,SEC,310720057
Richmond,A 10,310720257
Utah State,WAC,310710328
North Dakota,Summit,310710155
Louisville,Big East,310710097
Alabama State,SWAC,310712011
Long Beach State,Big West,310710299
BYU,Mountain West,310710252
Kansas,Big 12,310712305
Arizona,Pac-12,310710012
Kent State,MAC,310712309
Penn State,Big Ten,310710213
McNeese,Southland,310712377
Princeton,Ivy,310710163
Temple,A 10,310710218
Duke,ACC,310710150
Florida,SEC,310710057
Hampton,MEAC,310712261
Ohio State,Big Ten,310710194
North Carolina,ACC,310710153
Alabama,SEC,310710333
Dayton,A 10,310712168
Boston University,Am. East,310710104
UTEP,C-USA,310712638
North Carolina Central,Indep.,310712428
Boise State,WAC,310700068
San Diego State,Mountain West,310700021
Washington,Pac-12,310700264
Mississippi State,SEC,310700344
Saint Mary's,WCC,310702608
Notre Dame,Big East,310700087
Florida State,ACC,310700052
Texas,Big 12,310700251
Utah Valley,WAC,310703084
Kent State,MAC,310702309
Long Beach State,Big West,310700299
BYU,Mountain West,310700252
Arizona,Pac-12,310700012
Utah State,WAC,310700328
Texas Southern,SWAC,310702640
Richmond,A 10,310700257
Wisconsin,Big Ten,310700275
Hampton,MEAC,310702261
Florida,SEC,310700057
Kansas,Big 12,310702305
Duke,ACC,310700150
Syracuse,Big East,310700183
Western Michigan,MAC,310702711
North Dakota,Summit,310700155
Purdue,Big Ten,310702509
Temple,A 10,310700218
Memphis,C-USA,310700235
Bethune-Cookman,MEAC,310702065
Bucknell,Patriot,310702083
Tulsa,C-USA,310700202
Kentucky,SEC,310700096
Jackson State,SWAC,310702296
Michigan,Big Ten,310700130
Clemson,ACC,310700228
Duquesne,A 10,310702184
Alabama,SEC,310700333
Ohio State,Big Ten,310700194
North Carolina,ACC,310700153
Xavier,A 10,310702752
CSU Northridge,Big West,310702463
CSU Northridge,Big West,310692463
UNLV,Mountain West,310692439
Washington,Pac-12,310690264
Seattle U,Indep.,310692547
Vanderbilt,SEC,310690238
Tulsa,C-USA,310690202
McNeese,Southland,310692377
Texas A&M,Big 12,310690245
Ball State,MAC,310692050
Virginia Tech,ACC,310690259
South Dakota,Summit,310690233
Louisville,Big East,310690097
San Diego State,Mountain West,310690021
Alabama State,SWAC,310692011
UCLA,Pac-12,310690026
Cal Poly,Big West,310690013
Morgan State,MEAC,310692415
UTEP,C-USA,310692638
Penn State,Big Ten,310690213
Arkansas,SEC,310690008
Notre Dame,Big East,310690087
Texas,Big 12,310690251
Sam Houston,WAC,310692534
Kent State,MAC,310692309
North Dakota,Summit,310690155
Maryland,ACC,310690120
Coppin State,MEAC,310692154
Arizona,Pac-12,310690012
Pacific,Big West,310690279
New Mexico State,WAC,310690166
Colorado State,Mountain West,310690036
Michigan State,Big Ten,310690127
NJIT,Am. East,310692885
Memphis,C-USA,310690235
Ole Miss,SEC,310690145
BYU,Mountain West,310690252
Kansas State,Big 12,310692306
Long Beach State,Big West,310690299
Boston College,ACC,310690103
Idaho,WAC,310690070
USC,Pac-12,310690030
Syracuse,Big East,310690183
Miami (OH),MAC,310690193
Northwestern,Big Ten,310690077
Mississippi Valley State,SWAC,310692400
Georgia,SEC,310690061
UAB,C-USA,310690005
Kansas,Big 12,310692305
Pittsburgh,Big East,310690221
Western Michigan,MAC,310692711
Virginia,ACC,310690258
Oregon,Pac-12,310682483
SMU,C-USA,310682567
Missouri,Big 12,310680142
Hampton,MEAC,310682261
Texas State,Sun Belt,310680326
West Virginia,Big East,310680277
Texas Southern,SWAC,310682640
Northern Colorado,Big Sky,310682458
Stanford,Pac-12,310680024
Marshall,C-USA,310680276
Cincinnati,Big East,310682132
McNeese,Southland,310682377
Long Island University,NEC,310682341
Bethune-Cookman,MEAC,310682065
Baylor,Big 12,310680239
Nevada,WAC,310682440
Wyoming,Mountain West,310682751
Southern Miss,C-USA,310682572
Sam Houston,WAC,310682534
Colorado,Big 12,310680038
Norfolk State,MEAC,310682450
Hawai'i,WAC,310680062
St. John's,Big East,310682599
Jackson State,SWAC,310682296
Northwestern State,Southland,310682466
East Carolina,C-USA,310680151
Nebraska,Big 12,310680158
Georgetown,Big East,310680046
Northern Colorado,Big Sky,310672458
Marquette,Big East,310670269
Oakland,Summit,310672473
Delaware State,MEAC,310672169
Milwaukee,Horizon,310670270
UMass,A 10,310670113
Montana,Big Sky,310670149
Buffalo,MAC,310672084
Akron,MAC,310672006
North Texas,Sun Belt,310670249
Rhode Island,A 10,310670227
Villanova,Big East,310670222
Pennsylvania,Ivy,310670219
Ohio,MAC,310670195
Bowling Green,MAC,310670189
George Washington,A 10,310670045
Florida A&M,MEAC,310670050
St. Bonaventure,A 10,310670179
Seton Hall,Big East,310672550
UConn,Big East,310670041
Middle Tennessee,Sun Belt,310662393
Oral Roberts,Summit,310660198
Saint Mary's,WCC,310662608
Charleston,Southern,310660232
Oakland,Summit,310662473
Iona,MAAC,310660314
Old Dominion,CAA,310660295
Western Kentucky,Sun Belt,310660098
Gonzaga,WCC,310652250
Middle Tennessee,Sun Belt,310652393
Arkansas State,Sun Belt,310652032
IUPUI,Summit,310650085
Charleston,Southern,310650232
Saint Mary's,WCC,310652608
Florida Atlantic,Sun Belt,310652226
Boston University,Am. East,310650104
Bucknell,Patriot,310652083
Louisiana,Sun Belt,310650309
Purdue Fort Wayne,Summit,310652870
NC State,ACC,310650152
Western Carolina,Southern,310652717
Vermont,Am. East,310650261
American University,Patriot,310650044
Ohio State,Big Ten,310650194
Iona,MAAC,310650314
Old Dominion,CAA,310650295
Georgia Tech,ACC,310650059
Missouri State,MVC,310652623
Quinnipiac,NEC,310652514
Fairfield,MAAC,310652217
Minnesota,Big Ten,310650135
Tennessee,SEC,310652633
Long Island University,NEC,310652341
George Mason,CAA,310652244
Boston College,ACC,310650103
San Francisco,WCC,310642539
Fresno State,WAC,310640278
Washington,Pac-12,310640264
UC Santa Barbara,Big West,310642540
San Diego State,Mountain West,310640021
Rider,MAAC,310642520
UC Davis,Big West,310640302
Pacific,Big West,310640279
Idaho,WAC,310640070
UC Riverside,Big West,310640027
South Alabama,Sun Belt,310640006
Denver,Sun Belt,310642172
Weber State,Big Sky,310642692
Charleston,Southern,310640232
Oral Roberts,Summit,310640198
Baylor,Big 12,310640239
Santa Clara,WCC,310642541
Prairie View A&M,SWAC,310642504
UT Rio Grande Valley,WAC,310640292
New Mexico State,WAC,310640166
Boise State,WAC,310640068
Colorado,Big 12,310640038
Houston Baptist,Southland,310642277
Northern Arizona,Big Sky,310642464
Hofstra,CAA,310642275
Milwaukee,Horizon,310640270
Maine,Am. East,310640311
North Carolina,ACC,310640153
St. John's,Big East,310642599
Sam Houston,WAC,310642534
Morehead State,OVC,310642413
UT Arlington,Sun Belt,310640250
Tulsa,C-USA,310640202
UAB,C-USA,310640005
Western Kentucky,Sun Belt,310640098
Grambling,SWAC,310642755
Iona,MAAC,310640314
North Texas,Sun Belt,310640249
Louisiana Tech,WAC,310642348
Providence,Big East,310642507
Oakland,Summit,310642473
Marshall,C-USA,310640276
Chattanooga,Southern,310640236
Cornell,Ivy,310640172
Columbia,Ivy,310640171
Dartmouth,Ivy,310640159
Harvard,Ivy,310640108
LSU,SEC,310640099
California,Pac-12,310640025
Jackson State,SWAC,310642296
Boston University,Am. East,310640104
Vanderbilt,SEC,310640238
Seton Hall,Big East,310642550
Butler,Horizon,310642086
Belmont,ASUN,310642057
Old Dominion,CAA,310640295
Houston,C-USA,310640248
New Mexico,Mountain West,310640167
Texas Southern,SWAC,310642640
Washington State,Pac-12,310640265
Wichita State,MVC,310642724
Central Arkansas,ASUN,310642110
Wofford,Southern,310642747
McNeese,Southland,310642377
Fairfield,MAAC,310642217
Pittsburgh,Big East,310640221
Iowa,Big Ten,310642294
Syracuse,Big East,310640183
NJIT,Am. East,310642885
Coastal Carolina,Sun Belt,310640324
Utah,Mountain West,310640254
Memphis,C-USA,310640235
Oklahoma,Big 12,310640201
Ole Miss,SEC,310640145
Arizona State,Pac-12,310640009
BYU,Mountain West,310640252
SMU,C-USA,310642567
Northwestern State,Southland,310642466
Temple,A 10,310640218
Missouri State,MVC,310642623
VCU,CAA,310642670
Saint Peter's,MAAC,310642612
Vermont,Am. East,310640261
UConn,Big East,310640041
Cincinnati,Big East,310642132
Arizona,Pac-12,310640012
Saint Louis,A 10,310640139
Western Carolina,Southern,310642717
Charlotte,A 10,310642429
Eastern Michigan,MAC,310642199
Central Michigan,MAC,310642117
Ball State,MAC,310642050
Mississippi State,SEC,310640344
St. Bonaventure,A 10,310640179
Michigan,Big Ten,310640130
Maryland,ACC,310640120
George Washington,A 10,310640045
Texas A&M,Big 12,310640245
Kansas State,Big 12,310642306
Alabama,SEC,310640333
SE Louisiana,Southland,310642545
Fordham,A 10,310642230
Bowling Green,MAC,310640189
Albany,Am. East,310640399
Missouri,Big 12,310640142
West Virginia,Big East,310640277
George Mason,CAA,310642244
Illinois,Big Ten,310640356
Richmond,A 10,310640257
Clemson,ACC,310640228
Pepperdine,WCC,310632492
Indiana State,MVC,310630282
Siena,MAAC,310632561
Elon,Southern,310632210
Portland,WCC,310632501
East Tennessee State,ASUN,310632193
Valparaiso,Horizon,310632674
James Madison,CAA,310630256
Murray State,OVC,310630093
Niagara,MAAC,310630315
Wichita State,MVC,310632724
Kent State,MAC,310632309
Furman,Southern,310630231
Miami (OH),MAC,310630193
Cornell,Ivy,310630172
Columbia,Ivy,310630171
Dartmouth,Ivy,310630159
Harvard,Ivy,310630108
Belmont,ASUN,310632057
Cleveland State,Horizon,310630325
Delaware,CAA,310630048
Appalachian State,Southern,310632026
Northern Iowa,MVC,310632460
Drexel,CAA,310632182
Davidson,Southern,310632166
Missouri State,MVC,310632623
UNC Wilmington,CAA,310630350
San José State,WAC,310620023
UC Davis,Big West,310620302
Pacific,Big West,310620279
Washington State,Pac-12,310620265
Idaho,WAC,310620070
Drake,MVC,310622181
Indiana,Big Ten,310610084
Arizona,Pac-12,310620012
Texas Southern,SWAC,310622640
Mercer,ASUN,310622382
Louisiana Tech,WAC,310622348
Austin Peay,OVC,310622046
Washington,Pac-12,310620264
Houston Baptist,Southland,310622277
Grambling,SWAC,310622755
Prairie View A&M,SWAC,310622504
Mississippi Valley State,SWAC,310622400
Jackson State,SWAC,310622296
UT Rio Grande Valley,WAC,310620292
Arizona State,Pac-12,310620009
UMBC,Am. East,310622378
Howard,MEAC,310630047
Norfolk State,MEAC,310622450
Coastal Carolina,Sun Belt,310620324
Wake Forest,ACC,310620154
NJIT,Am. East,310622885
North Carolina Central,Indep.,310622428
Maryland-Eastern Shore,MEAC,310622379
Coppin State,MEAC,310622154
Bethune-Cookman,MEAC,310622065
Southern Illinois,MVC,310620079
Seton Hall,Big East,310622550
Tennessee Tech,OVC,310622635
South Carolina,SEC,310622579
Robert Morris,NEC,310622523
Quinnipiac,NEC,310622514
Long Island University,NEC,310622341
Central Connecticut,NEC,310622115
UNC Asheville,Big South,310622427
Jacksonville,ASUN,310620294
New Mexico State,WAC,310610166
UC Riverside,Big West,310610027
Weber State,Big Sky,310612692
BYU,Mountain West,310610252
UTEP,C-USA,310612638
Northern Colorado,Big Sky,310612458
Montana State,Big Sky,310610147
Kansas,Big 12,310612305
Duke,ACC,310610150
South Florida,Big East,310610058
Eastern Kentucky,ASUN,310612198
East Tennessee State,ASUN,310612193
Boise State,WAC,310610068
Colorado State,Mountain West,310610036
Arkansas,SEC,310610008
Northern Arizona,Big Sky,310612464
DePaul,Big East,310610305
Northwestern,Big Ten,310610077
Lamar,WAC,310612320
Tulane,C-USA,310612655
UTSA,C-USA,310612636
Stephen F. Austin,WAC,310612617
Northern Illinois,MAC,310612459
McNeese,Southland,310612377
Air Force,Mountain West,310612005
Texas A&M-CC,Southland,310610357
Marquette,Big East,310610269
Rice,C-USA,310610242
Georgia,SEC,310610061
Auburn,SEC,310610002
Texas Tech,Big 12,310612641
Nicholls,Southland,310612447
Buffalo,MAC,310612084
Iowa State,Big 12,310610066
Louisville,Big East,310610097
Florida State,ACC,310610052
West Virginia,Big East,310610277
Xavier,A 10,310612752
Western Michigan,MAC,310612711
Tennessee State,OVC,310612634
Saint Joseph's,A 10,310612603
Southern Miss,C-USA,310612572
Miami,ACC,310612390
Lehigh,Patriot,310612329
La Salle,A 10,310612325
Duquesne,A 10,310612184
Dayton,A 10,310612168
UCF,C-USA,310612116
Bucknell,Patriot,310612083
Rhode Island,A 10,310610227
East Carolina,C-USA,310610151
UMass,A 10,310610113
Holy Cross,Patriot,310610107
American University,Patriot,310610044
Michigan State,Big Ten,310610127
Belmont,ASUN,310612057
Wyoming,Mountain West,310602751
Stanford,Pac-12,310600024
Penn State,Big Ten,310600213
Kentucky,SEC,310600096
Virginia Tech,ACC,310600259
Little Rock,Sun Belt,310602031
Nebraska,Big 12,310600158
Western Illinois,Summit,310602710
Valparaiso,Horizon,310602674
Bowling Green,MAC,310600189
Purdue,Big Ten,310602509
Florida,SEC,310600057
Wright State,Horizon,310602750
VMI,Southern,310602678
Toledo,MAC,310602649
UNC Asheville,Big South,310602427
Liberty,ASUN,310602335
Detroit Mercy,Horizon,310602174
Cleveland State,Horizon,310600325
Coastal Carolina,Sun Belt,310600324
Virginia,ACC,310600258
Oklahoma State,Big 12,310600197
Ohio,MAC,310600195
North Dakota,Summit,310590155
Idaho State,Big Sky,310590304
Texas,Big 12,310590251
Mississippi Valley State,SWAC,310592400
Gonzaga,WCC,310592250
Arkansas-Pine Bluff,SWAC,310592029
Alabama State,SWAC,310592011
Alabama A&M,SWAC,310592010
Norfolk State,MEAC,310592450
Bethune-Cookman,MEAC,310592065
Florida A&M,MEAC,310590050
South Carolina Upstate,ASUN,310592908
Notre Dame,Big East,310590087
North Carolina A&T,MEAC,310592448
Washington,Pac-12,310580264
North Carolina,ACC,310580153
Siena,MAAC,310582561
Wisconsin,Big Ten,310580275
South Alabama,Sun Belt,310580006
Ohio State,Big Ten,310580194
Marquette,Big East,310580269
Iona,MAAC,310580314
Hartford,Am. East,310580042
Louisville,Big East,310580097
Stony Brook,Am. East,310582619
Rider,MAAC,310582520
La Salle,A 10,310582325
Eastern Michigan,MAC,310582199
Canisius,MAAC,310582099
Texas A&M-CC,Southland,310580357
Niagara,MAAC,310580315
Maine,Am. East,310580311
Michigan State,Big Ten,310580127
Dayton,A 10,310582168
Vermont,Am. East,310580261
Cincinnati,Big East,310582132
Rutgers,Big East,310580164
Hawai'i,WAC,310570062
CSU Fullerton,Big West,310572239
Saint Mary's,WCC,310572608
Nevada,WAC,310572440
Portland State,Big Sky,310572502
Sacramento State,Big Sky,310570016
CSU Bakersfield,Indep.,310572934
Santa Clara,WCC,310572541
San Francisco,WCC,310572539
UNLV,Mountain West,310572439
Southern Utah,Summit,310570253
South Dakota,Summit,310570233
Northern Colorado,Big Sky,310572458
Virginia Tech,ACC,310570259
Baylor,Big 12,310570239
Utah Valley,WAC,310573084
Tennessee Tech,OVC,310572635
Tennessee State,OVC,310572634
Southern,SWAC,310572582
Arkansas-Pine Bluff,SWAC,310572029
Utah State,WAC,310570328
San Diego,WCC,310570301
San José State,WAC,310570023
Austin Peay,OVC,310572046
Murray State,OVC,310570093
UC Irvine,Big West,310570300
UT Rio Grande Valley,WAC,310570292
North Texas,Sun Belt,310570249
Valparaiso,Horizon,310572674
Lamar,WAC,310572320
Eastern Washington,Big Sky,310570331
Long Beach State,Big West,310570299
Oral Roberts,Summit,310570198
Kansas City,Summit,310570140
Bradley,MVC,310570071
TCU,Mountain West,310572628
Middle Tennessee,Sun Belt,310572393
Rice,C-USA,310570242
Tulsa,C-USA,310570202
Saint Louis,A 10,310570139
UC Riverside,Big West,310570027
Florida Gulf Coast,ASUN,310570526
UT Martin,OVC,310572630
Presbyterian,Big South,310572506
UL Monroe,Sun Belt,310572433
Delaware State,MEAC,310572169
Alabama A&M,SWAC,310572010
Kennesaw State,ASUN,310570338
Georgia Southern,Southern,310570290
USC,Pac-12,310570030
Notre Dame,Big East,310570087
Winthrop,Big South,310572737
Toledo,MAC,310572649
St. Francis (PA),NEC,310572598
Robert Morris,NEC,310572523
Charlotte,A 10,310572429
Kent State,MAC,310572309
Gardner-Webb,Big South,310572241
Florida International,Sun Belt,310572229
UCF,C-USA,310572116
Akron,MAC,310572006
