Seed,School,Berth,year
1,Ohio State,Automatic,2011
2,North Carolina,At-large,2011
3,Syracuse,At-large,2011
4,Kentucky,Automatic,2011
5,West Virginia,At-large,2011
6,Xavier,At-large,2011
7,Washington,Automatic,2011
8,George Mason,At-large,2011
9,Villanova,At-large,2011
10,Georgia,At-large,2011
11,Marquette,At-large,2011
12,UAB,At-large,2011
12,Clemson,At-large,2011
13,Princeton,Automatic,2011
14,Indiana State,Automatic,2011
15,Long Island University,Automatic,2011
16,UTSA,Automatic,2011
16,Alabama State,Automatic,2011
1,Pittsburgh,At-large,2011
2,Florida,At-large,2011
3,BYU,At-large,2011
4,Wisconsin,At-large,2011
5,Kansas State,At-large,2011
6,St. John's,At-large,2011
7,UCLA,At-large,2011
8,Butler,Automatic,2011
9,Old Dominion,Automatic,2011
10,Michigan State,At-large,2011
11,Gonzaga,Automatic,2011
12,Utah State,Automatic,2011
13,Belmont,Automatic,2011
14,Wofford,Automatic,2011
15,UC Santa Barbara,Automatic,2011
16,UNC Asheville,Automatic,2011
16,Little Rock,Automatic,2011
1,Kansas,Automatic,2011
2,Notre Dame,At-large,2011
3,Purdue,At-large,2011
4,Louisville,At-large,2011
5,Vanderbilt,At-large,2011
6,Georgetown,At-large,2011
7,Texas A&M,At-large,2011
8,UNLV,At-large,2011
9,Illinois,At-large,2011
10,Florida State,At-large,2011
11,USC,At-large,2011
11,VCU,At-large,2011
12,Richmond,Automatic,2011
13,Morehead State,Automatic,2011
14,Saint Peter's,Automatic,2011
15,Akron,Automatic,2011
16,Boston University,Automatic,2011
1,Duke,Automatic,2011
2,San Diego State,Automatic,2011
3,UConn,Automatic,2011
4,Texas,At-large,2011
5,Arizona,At-large,2011
6,Cincinnati,At-large,2011
7,Temple,At-large,2011
8,Michigan,At-large,2011
9,Tennessee,At-large,2011
10,Penn State,At-large,2011
11,Missouri,At-large,2011
12,Memphis,Automatic,2011
13,Oakland,Automatic,2011
14,Bucknell,Automatic,2011
15,Northern Colorado,Automatic,2011
16,Hampton,Automatic,2011
1,Syracuse,At-large,2012
2,Ohio State,At-large,2012
3,Florida State,Automatic,2012
4,Wisconsin,At-large,2012
5,Vanderbilt,Automatic,2012
6,Cincinnati,At-large,2012
7,Gonzaga,At-large,2012
8,Kansas State,At-large,2012
9,Southern Miss,At-large,2012
10,West Virginia,At-large,2012
11,Texas,At-large,2012
12,Harvard,Automatic,2012
13,Montana,Automatic,2012
14,St. Bonaventure,Automatic,2012
15,Loyola (MD),Automatic,2012
16,UNC Asheville,Automatic,2012
1,North Carolina,At-large,2012
2,Kansas,At-large,2012
3,Georgetown,At-large,2012
4,Michigan,At-large,2012
5,Temple,At-large,2012
6,San Diego State,At-large,2012
7,Saint Mary's,Automatic,2012
8,Creighton,Automatic,2012
9,Alabama,At-large,2012
10,Purdue,At-large,2012
11,NC State,At-large,2012
12,California,At-large,2012
12,South Florida,At-large,2012
13,Ohio,Automatic,2012
14,Belmont,Automatic,2012
15,Detroit Mercy,Automatic,2012
16,Lamar,Automatic,2012
16,Vermont,Automatic,2012
1,Kentucky,At-large,2012
2,Duke,At-large,2012
3,Baylor,At-large,2012
4,Indiana,At-large,2012
5,Wichita State,At-large,2012
6,UNLV,At-large,2012
7,Notre Dame,At-large,2012
8,Iowa State,At-large,2012
9,UConn,At-large,2012
10,Xavier,At-large,2012
11,Colorado,Automatic,2012
12,VCU,Automatic,2012
13,New Mexico State,Automatic,2012
14,South Dakota State,Automatic,2012
15,Lehigh,Automatic,2012
16,Mississippi Valley State,Automatic,2012
16,Western Kentucky,Automatic,2012
1,Michigan State,Automatic,2012
2,Missouri,Automatic,2012
3,Marquette,At-large,2012
4,Louisville,Automatic,2012
5,New Mexico,Automatic,2012
6,Murray State,Automatic,2012
7,Florida,At-large,2012
8,Memphis,Automatic,2012
9,Saint Louis,At-large,2012
10,Virginia,At-large,2012
11,Colorado State,At-large,2012
12,Long Beach State,Automatic,2012
13,Davidson,Automatic,2012
14,BYU,At-large,2012
14,Iona,At-large,2012
15,Norfolk State,Automatic,2012
16,Long Island University,Automatic,2012
1,Kansas,Automatic,2013
2,Georgetown,At-large,2013
3,Florida,At-large,2013
4,Michigan,At-large,2013
5,VCU,At-large,2013
6,UCLA,At-large,2013
7,San Diego State,At-large,2013
8,North Carolina,At-large,2013
9,Villanova,At-large,2013
10,Oklahoma,At-large,2013
11,Minnesota,At-large,2013
12,Akron,Automatic,2013
13,South Dakota State,Automatic,2013
14,Northwestern State,Automatic,2013
15,Florida Gulf Coast,Automatic,2013
16,Western Kentucky,Automatic,2013
1,Gonzaga,Automatic,2013
2,Ohio State,Automatic,2013
3,New Mexico,Automatic,2013
4,Kansas State,At-large,2013
5,Wisconsin,At-large,2013
6,Arizona,At-large,2013
7,Notre Dame,At-large,2013
8,Pittsburgh,At-large,2013
9,Wichita State,At-large,2013
10,Iowa State,At-large,2013
11,Belmont,Automatic,2013
12,Ole Miss,Automatic,2013
13,Boise State,At-large,2013
13,La Salle,At-large,2013
14,Harvard,Automatic,2013
15,Iona,Automatic,2013
16,Southern,Automatic,2013
1,Indiana,At-large,2013
2,Miami,Automatic,2013
3,Marquette,At-large,2013
4,Syracuse,At-large,2013
5,UNLV,At-large,2013
6,Butler,At-large,2013
7,Illinois,At-large,2013
8,NC State,At-large,2013
9,Temple,At-large,2013
10,Colorado,At-large,2013
11,Bucknell,Automatic,2013
12,California,At-large,2013
13,Montana,Automatic,2013
14,Davidson,Automatic,2013
15,Pacific,Automatic,2013
16,James Madison,Automatic,2013
16,Long Island University,Automatic,2013
1,Louisville,Automatic,2013
2,Duke,At-large,2013
3,Michigan State,At-large,2013
4,Saint Louis,Automatic,2013
5,Oklahoma State,At-large,2013
6,Memphis,Automatic,2013
7,Creighton,Automatic,2013
8,Colorado State,At-large,2013
9,Missouri,At-large,2013
10,Cincinnati,At-large,2013
11,Middle Tennessee,At-large,2013
