id,tournament_id
400549654,NA
400548782,NA
400548955,NA
400548497,NA
400548466,NA
400548495,NA
400548496,NA
400547142,NA
400547143,NA
400547145,NA
400547144,NA
400547158,NA
400547159,NA
400547161,NA
400547160,NA
400546821,19
400546814,4
400545814,23
400546816,30
400546619,14
400546815,11
400546614,20
400546605,34
400546595,12
400544889,27
400546627,19
400546620,7
400546607,36
400546606,10
400546596,30
400545211,4
400546599,18
400546604,19
400546615,11
400546617,31
400546598,16
400546594,30
400545210,4
400546597,11
400544468,19
400546404,7
400545915,14
400544208,11
400546400,19
400546374,31
400545442,20
400546251,7
400545914,14
400546229,36
400546055,10
400544207,11
400544467,19
400546014,34
400546230,10
400545527,36
400545195,20
400546244,16
400546243,30
400546240,18
400544206,11
400546411,12
400546300,19
400546237,31
400545654,34
400546238,16
400546401,11
400546245,18
400546239,30
400546250,12
400545994,12
400544356,7
400544466,19
400545834,12
400544316,31
400544355,7
400544465,19
400545674,12
400544354,7
400545614,16
400544874,18
400544220,30
400544205,11
400545554,12
400545534,16
400544876,18
400544219,30
400544315,31
400545257,10
400544231,36
400545258,12
400544224,34
400545441,10
400544230,36
400544888,14
400544214,14
400544614,23
400545240,12
400544594,23
400544223,34
400544216,14
400544215,14
400545214,31
400544229,36
400545174,12
400544222,34
400544228,36
400545154,18
400544887,16
400545114,12
400544221,34
400545094,18
400544886,16
400545095,31
400545014,20
400544181,10
400544212,12
400544890,6
400544914,20
400544180,10
400544211,12
400543822,4
400543821,4
400543820,4
400543819,4
400544275,31
400544195,20
400511519,NA
400544879,35
400544210,12
400544878,20
400544877,32
400544200,18
400544209,12
400544274,31
400544196,18
400544194,20
400544574,5
400544193,20
400544474,39
400544213,14
400544204,16
400544203,16
400544201,16
400542794,27
400542774,27
400544678,6
400543334,35
400544434,29
400544202,16
400544192,20
400544494,6
400544394,1
400544199,18
400544514,32
400543676,35
400544414,15
400544197,18
400544374,32
400544198,18
400541716,6
400544182,26
400543817,3
400543816,6
400541537,23
400544168,5
400543823,8
400543739,28
400541717,6
400541200,32
400505429,NA
400543818,39
400543738,5
400541536,23
400543815,29
400541535,23
400541534,23
400543594,15
400543274,1
400543737,39
400543788,9
400543753,6
400541199,32
400543736,29
400543734,2
400543554,1
400543134,15
400543675,26
400505949,NA
400541696,5
400509732,NA
400543354,26
400505948,NA
400542714,8
400541532,39
400511518,NA
400543494,3
400541714,6
400543614,5
400511517,NA
400511516,NA
400507920,NA
400541197,29
400510990,NA
400543534,9
400510969,NA
400543474,39
400542354,8
400511515,NA
400510850,NA
400510873,NA
400543154,3
400541715,6
400510849,NA
400507919,NA
400507625,NA
400507624,NA
400505947,NA
400505946,NA
400543114,29
400510892,NA
400515840,NA
400510851,NA
400510844,NA
400509731,NA
400509730,NA
400509729,NA
400509728,NA
400507918,NA
400507917,NA
400507623,NA
400543254,9
400505426,NA
400541198,32
400511795,NA
400505428,NA
400505427,NA
400505425,NA
400543517,28
400543454,5
400512365,NA
400507622,NA
400543374,39
400541196,29
400511732,NA
400543194,24
400512467,NA
400512429,NA
400512400,NA
400512298,NA
400512083,NA
400511752,NA
400507621,NA
400507620,NA
400505108,NA
400543414,2
400539054,NA
400507619,NA
400505109,NA
400505107,NA
400505106,NA
400505105,NA
400543234,28
400541694,5
400541531,39
400543054,29
400512317,NA
400510911,NA
400543174,2
400542954,26
400541185,35
400511637,NA
400541677,5
400542334,15
400542754,9
400542854,26
400542534,35
400511636,NA
400511635,NA
400511634,NA
400542734,28
400542814,3
400540997,1
400541423,39
400511633,NA
400542674,2
400542254,15
400541676,5
400511514,NA
400511513,NA
400511512,NA
400511511,NA
400542614,9
400542574,28
400542594,3
400541422,39
400540996,1
400542514,26
400542474,35
400542554,2
400542454,26
400543074,NA
400542414,24
400541184,35
400542374,3
400542434,9
400542375,28
400542394,2
400541161,15
400540995,1
400541195,29
400542314,24
400542294,28
400542274,9
400542255,3
400542295,2
400542234,15
400540994,1
400541194,29
400505945,NA
400541173,26
400507916,NA
400505944,NA
400505943,NA
400505942,NA
400541172,26
400509727,NA
400509726,NA
400509725,NA
400509724,NA
400507915,NA
400507914,NA
400541181,9
400542034,28
400541594,8
400505422,NA
400541894,3
400511769,NA
400511751,NA
400505424,NA
400505423,NA
400505421,NA
400541615,27
400541168,2
400541614,27
400541056,27
400541055,27
400509723,NA
400507618,NA
400505104,NA
400505103,NA
400505102,NA
400505101,NA
400541180,9
400510848,NA
400510847,NA
400510846,NA
400510845,NA
400507617,NA
400507616,NA
400507615,NA
400541834,3
400541533,8
400541177,28
400512510,NA
400512460,NA
400512440,NA
400512277,NA
400507614,NA
400507613,NA
400541171,26
400512587,NA
400512382,NA
400541183,35
400541167,2
400541813,24
400541182,35
400541170,26
400541934,2
400541914,28
400541179,9
400541157,3
400541009,8
400541160,15
400541812,24
400541530,8
400541178,9
400541176,28
400541166,2
400541159,15
400541809,3
400541158,15
400541175,28
400511794,NA
400510968,NA
400510891,NA
400512257,NA
400541574,NA
400512259,NA
400512258,NA
400512256,NA
400510979,NA
400510948,NA
400512255,NA
400512096,NA
400541165,2
400512451,NA
400512428,NA
400512399,NA
400512352,NA
400512316,NA
400512254,NA
400512253,NA
400512252,NA
400511171,NA
400511170,NA
400511169,NA
400511168,NA
400541156,3
400541174,28
400541155,3
400541035,24
400541154,3
400541034,24
400512297,NA
400511632,NA
400511629,NA
400509562,NA
400511631,NA
400511630,NA
400511628,NA
400503834,NA
400534174,NA
400503833,NA
400541814,NA
400541054,27
400541033,27
400509563,NA
400509560,NA
400509241,NA
400541008,8
400541007,8
400541222,NA
400541006,8
400509722,NA
400503830,NA
400510933,NA
400503831,NA
400511411,NA
400511419,NA
400511035,NA
400511705,NA
400511673,NA
400511662,NA
400511650,NA
400511319,NA
400511052,NA
400509559,NA
400510843,NA
400510842,NA
400510841,NA
400510840,NA
400512539,NA
400512415,NA
400512335,NA
400503832,NA
400512565,NA
400512489,NA
400541201,NA
400510947,NA
400510531,NA
400508524,NA
400509901,NA
400509933,NA
400509900,NA
400509899,NA
400505420,NA
400505419,NA
400508525,NA
400508522,NA
400505271,NA
400508902,NA
400508523,NA
400503829,NA
400505418,NA
400508903,NA
400520734,NA
400515238,NA
400512843,NA
400512601,NA
400512450,NA
400512427,NA
400512351,NA
400512296,NA
400511167,NA
400511166,NA
400511165,NA
400511164,NA
400510720,NA
400510719,NA
400510718,NA
400510615,NA
400510603,NA
400510425,NA
400510424,NA
400510423,NA
400509898,NA
400508901,NA
400508900,NA
400508521,NA
400507612,NA
400508898,NA
400508520,NA
400514969,NA
400508899,NA
400508897,NA
400510422,NA
400509897,NA
400511627,NA
400509896,NA
400509721,NA
400511768,NA
400507913,NA
400507912,NA
400503826,NA
400503825,NA
400505417,NA
400512246,NA
400511626,NA
400511510,NA
400511509,NA
400511410,NA
400505941,NA
400505939,NA
400505100,NA
400505099,NA
400510837,NA
400515364,NA
400511508,NA
400511507,NA
400510978,NA
400510872,NA
400504910,NA
400511198,NA
400512581,NA
400512251,NA
400512250,NA
400512249,NA
400511625,NA
400511254,NA
400511243,NA
400511217,NA
400509720,NA
400509719,NA
400509718,NA
400507911,NA
400507611,NA
400505940,NA
400505938,NA
400511034,NA
400512248,NA
400512538,NA
400512439,NA
400511624,NA
400511623,NA
400511428,NA
400510839,NA
400510838,NA
400510836,NA
400510835,NA
400510234,NA
400509717,NA
400504913,NA
400504912,NA
400510566,NA
400505098,NA
400503827,NA
400512247,NA
400511686,NA
400511181,NA
400511051,NA
400510959,NA
400510910,NA
400509557,NA
400509556,NA
400509216,NA
400507910,NA
400507610,NA
400507609,NA
400505416,NA
400505269,NA
400505268,NA
400504911,NA
400504909,NA
400503828,NA
400510932,NA
400512613,NA
400512564,NA
400512556,NA
400512398,NA
400512381,NA
400512334,NA
400512315,NA
400512276,NA
400511793,NA
400511731,NA
400511339,NA
400511318,NA
400510717,NA
400510421,NA
400510233,NA
400510232,NA
400510231,NA
400509558,NA
400509404,NA
400509403,NA
400509402,NA
400509215,NA
400509214,NA
400509213,NA
400507608,NA
400507607,NA
400505270,NA
400505097,NA
400504914,NA
400512835,NA
400511750,NA
400511672,NA
400511661,NA
400510230,NA
400509555,NA
400509401,NA
400509212,NA
400507606,NA
400505096,NA
400512245,NA
400509554,NA
400509895,NA
400509894,NA
400509893,NA
400505415,NA
400515246,NA
400511506,NA
400511505,NA
400511504,NA
400511503,NA
400510716,NA
400510715,NA
400510420,NA
400510419,NA
400510418,NA
400510417,NA
400510714,NA
400515839,NA
400509892,NA
400511242,NA
400511232,NA
400511216,NA
400509716,NA
400509715,NA
400505937,NA
400505936,NA
400505934,NA
400508517,NA
400509890,NA
400510591,NA
400511197,NA
400509891,NA
400509714,NA
400505266,NA
400505413,NA
400509713,NA
400505414,NA
400508515,NA
400509932,NA
400508518,NA
400510530,NA
400508519,NA
400508516,NA
400507909,NA
400507908,NA
400507907,NA
400505264,NA
400504906,NA
400511786,NA
400505412,NA
400505095,NA
400508893,NA
400508514,NA
400508895,NA
400508894,NA
400510548,NA
400512842,NA
400512397,NA
400512314,NA
400512295,NA
400511767,NA
400511163,NA
400511162,NA
400511161,NA
400509211,NA
400509210,NA
400509209,NA
400509208,NA
400509207,NA
400508896,NA
400508892,NA
400508891,NA
400508513,NA
400505267,NA
400505265,NA
400505094,NA
400505093,NA
400505092,NA
400508890,NA
400507605,NA
400507604,NA
400507602,NA
400540340,NA
400510416,NA
400507603,NA
400504908,NA
400504907,NA
400511730,NA
400507601,NA
400512466,NA
400511160,NA
400511622,NA
400512242,NA
400511621,NA
400511620,NA
400511619,NA
400511618,NA
400509712,NA
400510909,NA
400509552,NA
400503822,NA
400512241,NA
400512240,NA
400510989,NA
400510958,NA
400510871,NA
400503823,NA
400511427,NA
400503824,NA
400512238,NA
400512850,NA
400512824,NA
400512600,NA
400512580,NA
400512449,NA
400512364,NA
400512244,NA
400512243,NA
400512239,NA
400512237,NA
400511749,NA
400510415,NA
400510229,NA
400510228,NA
400510227,NA
400510226,NA
400510225,NA
400509551,NA
400509400,NA
400509399,NA
400509398,NA
400509397,NA
400512555,NA
400503821,NA
400511013,NA
400511401,NA
400509553,NA
400509550,NA
400509711,NA
400504904,NA
400504903,NA
400503820,NA
400511020,NA
400510590,NA
400537014,NA
400515245,NA
400515237,NA
400511685,NA
400511649,NA
400511338,NA
400511317,NA
400510713,NA
400510712,NA
400510711,NA
400504905,NA
400510834,NA
400510833,NA
400510832,NA
400510831,NA
400511671,NA
400512459,NA
400512438,NA
400512380,NA
400509887,NA
400509889,NA
400509886,NA
400508887,NA
400509888,NA
400508512,NA
400509549,NA
400505411,NA
400505410,NA
400511388,NA
400503819,NA
400509884,NA
