team,conference,game_id
UConn,American,400551354
UConn,American,400550454
Notre Dame,ACC,400550434
UTEP,C-USA,400550784
UTEP,C-USA,400550175
South Florida,American,400550174
Stanford,Pac-12,400550014
Louisville,American,400549977
UConn,American,400549914
UTEP,C-USA,400549856
Notre Dame,ACC,400549894
Bowling Green,MAC,400549658
South Carolina,SEC,400548964
Mississippi State,SEC,400549657
Stanford,Pac-12,400548963
South Dakota State,Summit,400549656
Louisville,American,400548966
Tennessee,SEC,400548962
Texas A&M,SEC,400548965
UConn,American,400548961
UIC,Horizon,400549654
Notre Dame,ACC,400548958
Baylor,Big 12,400548957
UTEP,C-USA,400548995
Mississippi State,SEC,400548998
South Dakota State,Summit,400548882
Charleston,CAA,400548782
Rutgers,American,400548997
Bowling Green,MAC,400548996
South Florida,American,400548884
Indiana,Big Ten,400548883
UIC,Horizon,400548955
Washington,Pac-12,400548994
Louisville,American,400548895
West Virginia,Big 12,400548878
South Carolina,SEC,400548896
Texas A&M,SEC,400548898
UConn,American,400548894
Maryland,ACC,400548874
North Carolina,ACC,400548876
Penn State,Big Ten,400548875
Oregon,Pac-12,400548709
Baylor,Big 12,400548781
Tennessee,SEC,400548779
Nebraska,Big Ten,400548778
Purdue,Big Ten,400548776
UTEP,C-USA,400548710
Montana,Big Sky,400548498
Mississippi State,SEC,400548506
Eastern Michigan,MAC,400548497
Bowling Green,MAC,400548712
Michigan,Big Ten,400548711
Auburn,SEC,400548507
Rutgers,American,400548504
Notre Dame,ACC,400548774
Stanford,Pac-12,400548780
Duke,ACC,400548775
Kentucky,SEC,400548777
Middle Tennessee,C-USA,400547094
Texas A&M,SEC,400547070
UConn,American,400547065
Iowa,Big Ten,400547079
Minnesota,Big Ten,400548500
Louisville,American,400547077
South Carolina,SEC,400547091
Gonzaga,WCC,400547071
Georgia,SEC,400547068
Seton Hall,Big East,400548505
West Virginia,Big 12,400547082
North Carolina,ACC,400547095
Dayton,A 10,400547098
Texas,Big 12,400547074
Northwestern,Big Ten,400548503
South Dakota State,Summit,400548501
Fairfield,MAAC,400548466
South Florida,American,400548708
Villanova,Big East,400547495
LSU,SEC,400547078
Penn State,Big Ten,400547097
Michigan State,Big Ten,400547092
Maryland,ACC,400547075
Colorado,Pac-12,400548499
Stephen F. Austin,Southland,400548495
Charleston,CAA,400548496
Indiana,Big Ten,400548502
Stanford,Pac-12,400547099
Baylor,Big 12,400547107
NC State,ACC,400547067
St. John's,Big East,400547076
Iowa State,Big 12,400547096
Tennessee,SEC,400547073
Nebraska,Big Ten,400547066
California,Pac-12,400547104
Purdue,Big Ten,400547102
Syracuse,ACC,400547106
Notre Dame,ACC,400547100
DePaul,Big East,400547069
Duke,ACC,400547072
Kentucky,SEC,400547105
Oklahoma State,Big 12,400547103
Vanderbilt,SEC,400547101
Washington,Pac-12,400547139
UTEP,C-USA,400547141
Saint Mary's,WCC,400547140
South Florida,American,400547156
St. Bonaventure,A 10,400547119
Duquesne,A 10,400547115
Michigan,Big Ten,400547114
Grand Canyon,WAC,400547142
Oregon,Pac-12,400547136
Colorado State,Mountain West,400547138
San Diego,WCC,400547137
Stephen F. Austin,Southland,400547143
Southern Miss,C-USA,400547130
Northwestern,Big Ten,400547129
Mississippi State,SEC,400547128
Creighton,Big East,400547123
South Dakota State,Summit,400547120
SMU,American,400547118
Indiana State,MVC,400547125
Northern Kentucky,ASUN,400547145
Charleston,CAA,400547144
Miami,ACC,400547157
Old Dominion,C-USA,400547154
Auburn,SEC,400547132
Central Michigan,MAC,400547131
Indiana,Big Ten,400547127
Seton Hall,Big East,400547126
Princeton,Ivy,400547124
Rutgers,American,400547122
Iona,MAAC,400547121
Bowling Green,MAC,400547117
Eastern Michigan,MAC,400547158
Colorado,Pac-12,400547135
Montana,Big Sky,400547134
UIC,Horizon,400547159
Minnesota,Big Ten,400547116
Bryant,NEC,400547161
Maine,Am. East,400547160
Villanova,Big East,400547155
George Washington,A 10,400547133
Wichita State,MVC,400546821
Florida Gulf Coast,ASUN,400546814
Robert Morris,NEC,400545814
Stephen F. Austin,Southland,400546816
Green Bay,Horizon,400546619
James Madison,CAA,400546815
Colorado State,Mountain West,400546614
Arkansas State,Sun Belt,400546605
