game_id,team,pace
400551354,Notre Dame,70
400551354,UConn,73
400550454,Stanford,62
400550454,UConn,68
400550434,Maryland,72
400550434,Notre Dame,71
400550784,Rutgers,64
400550784,UTEP,63
400550175,South Dakota State,72
400550175,UTEP,67
400550174,Rutgers,67
400550174,South Florida,71
400550014,North Carolina,69
400550014,Stanford,66
400549977,Maryland,77.5
400549977,Louisville,83
400549914,Texas A&M,64
400549914,UConn,66.33333333333334
400549856,Washington,77
400549856,UTEP,69.66666666666667
400549894,Baylor,78
400549894,Notre Dame,73.33333333333333
400549658,Rutgers,65.33333333333333
400549658,Bowling Green,60
400548964,North Carolina,68
400548964,South Carolina,65
400549657,South Florida,70
400549657,Mississippi State,67
400548963,Penn State,70
400548963,Stanford,67
400549656,Indiana,66
400549656,South Dakota State,68.5
400548966,LSU,68
400548966,Louisville,76.5
400548962,Maryland,76.66666666666667
400548962,Tennessee,73
400548965,DePaul,76
400548965,Texas A&M,70.5
400548961,BYU,66
400548961,UConn,66.25
400549654,Stephen F. Austin,67
400549654,UIC,65
400548958,Oklahoma State,76
400548958,Notre Dame,73.75
400548957,Kentucky,72
400548957,Baylor,75.5
400548995,Colorado,71
400548995,UTEP,69.5
400548998,Auburn,74
400548998,Mississippi State,71.5
400548882,Minnesota,65
400548882,South Dakota State,67.33333333333333
400548782,Stephen F. Austin,73.5
400548782,Charleston,80
400548997,Seton Hall,70.4
400548997,Rutgers,67.29411764705883
400548996,Michigan,59
400548996,Bowling Green,58
400548884,George Washington,73
400548884,South Florida,70.33333333333333
400548883,Northwestern,72
400548883,Indiana,68.5
400548955,Fairfield,60
400548955,UIC,63
400548994,San Diego,74
400548994,Washington,76
400548895,Iowa,72
400548895,Louisville,75.33333333333333
400548878,LSU,71
400548878,West Virginia,71
400548896,Oregon State,70
400548896,South Carolina,65.5
400548898,James Madison,74
400548898,Texas A&M,71.66666666666667
400548894,Saint Joseph's,58
400548894,UConn,64.80000000000001
400548874,Texas,67
400548874,Maryland,74.75
400548876,Michigan State,76
400548876,North Carolina,71.33333333333334
400548875,Florida,71
400548875,Penn State,71
400548709,Washington,78.66666666666666
400548709,Oregon,84
400548781,California,70
400548781,Baylor,74
400548779,St. John's,67
400548779,Tennessee,70
400548778,BYU,68.5
400548778,Nebraska,73
400548776,Oklahoma State,75.5
400548776,Purdue,75
400548710,Saint Mary's,70
400548710,UTEP,69
400548498,San Diego,70.5
400548498,Montana,69
400548506,Southern Miss,71.2
400548506,Mississippi State,72.3076923076923
400548497,UIC,72
400548497,Eastern Michigan,88
400548712,St. Bonaventure,67
400548712,Bowling Green,60.33333333333333
400548711,Duquesne,67
400548711,Michigan,63
400548507,Old Dominion,73
400548507,Auburn,73
400548504,Harvard,70
400548504,Rutgers,67.23809523809524
400548774,Arizona State,76
400548774,Notre Dame,74.2
400548780,Florida State,65
400548780,Stanford,66
400548775,DePaul,73
400548775,Duke,70
400548777,Syracuse,75
400548777,Kentucky,70.5
400547094,Oregon State,65
400547094,Middle Tennessee,62
400547070,North Dakota,70
400547070,Texas A&M,71.25
400547065,Prairie View A&M,73
400547065,UConn,66.33333333333334
400547079,Marist,72
400547079,Iowa,71.5
400548500,SMU,73
400548500,Minnesota,70
400547077,Idaho,65
400547077,Louisville,73.5
400547091,CSU Northridge,67
400547091,South Carolina,65
400547071,James Madison,72.5
400547071,Gonzaga,73
400547068,Saint Joseph's,59
400547068,Georgia,62
400548505,Princeton,70
400548505,Seton Hall,70.66666666666666
400547082,Albany,70
400547082,West Virginia,71.5
400547095,UT Martin,62
