Seed,School,Berth,year
1,UConn,Automatic,2014
2,Duke,At-large,2014
3,Texas A&M,At-large,2014
4,Nebraska,Automatic,2014
5,NC State,At-large,2014
6,Gonzaga,Automatic,2014
7,DePaul,Automatic,2014
8,Georgia,At-large,2014
9,Saint Joseph's,At-large,2014
10,Oklahoma,At-large,2014
11,James Madison,Automatic,2014
12,BYU,At-large,2014
13,Fresno State,Automatic,2014
14,North Dakota,Automatic,2014
15,Winthrop,Automatic,2014
16,Prairie View A&M,Automatic,2014
1,South Carolina,At-large,2014
2,Stanford,At-large,2014
3,Penn State,At-large,2014
4,North Carolina,At-large,2014
5,Michigan State,At-large,2014
6,Dayton,At-large,2014
7,Iowa State,At-large,2014
8,Middle Tennessee,Automatic,2014
9,Oregon State,At-large,2014
10,Florida State,At-large,2014
11,Florida,At-large,2014
12,Hampton,Automatic,2014
13,UT Martin,Automatic,2014
14,Wichita State,Automatic,2014
15,South Dakota,Automatic,2014
16,CSU Northridge,Automatic,2014
1,Notre Dame,Automatic,2014
2,Baylor,Automatic,2014
3,Kentucky,At-large,2014
4,Purdue,At-large,2014
5,Oklahoma State,At-large,2014
6,Syracuse,At-large,2014
7,California,At-large,2014
8,Vanderbilt,At-large,2014
9,Arizona State,At-large,2014
10,Fordham,Automatic,2014
11,Chattanooga,Automatic,2014
12,Florida Gulf Coast,Automatic,2014
13,Akron,Automatic,2014
14,Wright State,Automatic,2014
15,Western Kentucky,Automatic,2014
16,Robert Morris,Automatic,2014
1,Tennessee,Automatic,2014
2,West Virginia,At-large,2014
3,Louisville,At-large,2014
4,Maryland,At-large,2014
5,Texas,At-large,2014
6,Iowa,At-large,2014
7,LSU,At-large,2014
8,St. John's,At-large,2014
9,USC,Automatic,2014
10,Georgia Tech,At-large,2014
11,Marist,Automatic,2014
12,Pennsylvania,Automatic,2014
13,Army,Automatic,2014
14,Idaho,Automatic,2014
15,Albany,Automatic,2014
16,Northwestern State,Automatic,2014
1,UConn,Automatic,2015
2,Kentucky,At-large,2015
3,Louisville,At-large,2015
4,California,At-large,2015
5,Texas,At-large,2015
6,South Florida,At-large,2015
7,Dayton,At-large,2015
8,Rutgers,At-large,2015
9,Seton Hall,At-large,2015
10,Iowa State,At-large,2015
11,LSU,At-large,2015
12,Western Kentucky,Automatic,2015
13,Wichita State,Automatic,2015
14,BYU,Automatic,2015
15,Tennessee State,Automatic,2015
16,St. Francis (BKN),Automatic,2015
1,Maryland,Automatic,2015
2,Tennessee,At-large,2015
3,Oregon State,At-large,2015
4,Duke,At-large,2015
5,Mississippi State,At-large,2015
6,George Washington,Automatic,2015
7,Chattanooga,Automatic,2015
8,Princeton,Automatic,2015
9,Green Bay,Automatic,2015
10,Pittsburgh,At-large,2015
11,Gonzaga,At-large,2015
12,Tulane,At-large,2015
13,Albany,Automatic,2015
14,South Dakota State,Automatic,2015
15,Boise State,Automatic,2015
16,New Mexico State,Automatic,2015
1,Notre Dame,Automatic,2015
2,Baylor,Automatic,2015
3,Iowa,At-large,2015
4,Stanford,Automatic,2015
5,Oklahoma,At-large,2015
6,Washington,At-large,2015
7,Northwestern,At-large,2015
8,Minnesota,At-large,2015
